humidity,precipMM,tempC,windspeedKmph,HeatIndexC
31,0,18,8,18
30,0,18,9,18
28,0,20,9,20
26,0,22,9,24
23,0,26,9,26
22,0,28,9,27
20,0,30,8,28
18,0,31,8,29
20,0,31,6,29
21,0,32,5,30
23,0,31,4,29
27,0,28,5,27
32,0,27,5,26
37,0,25,5,25
37,0,24,5,25
37,0,23,6,24
37,0,22,6,24
37,0,22,6,24
36,0,21,7,21
35,0,20,7,20
35,0,20,7,20
35,0,19,7,19
35,0,19,7,19
34,0,19,7,19
33,0,19,7,19
32,0,19,7,19
27,0,21,6,21
23,0,23,6,25
18,0,27,5,26
17,0,29,4,28
16,0,31,4,29
15,0,33,3,31
17,0,33,2,31
19,0,32,2,31
21,0,32,1,30
27,0,30,2,29
33,0,28,3,27
39,0,26,3,26
41,0,24,4,25
43,0,23,4,24
44,0,22,5,24
43,0,21,6,21
41,0,21,6,21
39,0,21,7,21
39,0,21,5,21
39,0,20,4,20
39,0,20,2,20
38,0,20,3,20
37,0,19,5,19
35,0,19,6,19
30,0,20,7,20
25,0,23,9,25
20,0,27,10,27
19,0,29,7,28
17,0,31,4,29
15,0,32,2,30
18,0,31,2,30
20,0,32,2,30
22,0,31,2,29
29,0,29,2,28
36,0,28,2,27
43,0,26,1,26
44,0,24,3,25
44,0,23,4,25
45,0,21,5,24
43,0,20,6,20
41,0,20,6,20
39,0,19,7,19
38,0,20,8,20
38,0,20,8,20
37,0,20,9,20
35,0,19,9,19
33,0,21,9,21
31,0,20,8,20
27,0,21,9,24
22,0,24,9,25
18,0,28,10,27
17,0,30,9,28
16,0,31,8,30
14,0,33,6,31
16,0,33,6,31
17,0,33,5,31
19,0,33,4,31
23,0,31,4,29
27,0,29,5,28
32,0,27,5,26
31,0,25,6,25
31,0,23,6,24
30,0,22,6,23
28,0,22,7,23
27,0,22,7,23
25,0,22,7,23
25,0,20,6,20
24,0,19,5,19
24,0,18,4,18
23,0,19,5,19
22,0,20,6,20
21,0,20,6,20
18,0,22,7,24
15,0,24,7,24
12,0,28,8,26
12,0,29,7,27
11,0,31,7,29
11,0,32,6,29
13,0,31,5,29
16,0,31,3,29
19,0,30,1,28
25,0,29,2,27
32,0,27,2,26
38,0,25,3,25
39,0,23,3,24
39,0,22,3,24
39,0,22,4,24
40,0,20,3,20
40,0,19,3,19
40,0,19,3,19
41,0,18,3,18
42,0,17,4,17
43,0,17,4,17
38,0,19,4,19
32,0,20,4,20
